Time,EXPERIMENT
0,2949
20,2964
40,2939
60,2873
80,2783
100,2678
120,2571
140,2476
160,2392
180,2335
200,2307
220,2320
240,2357
260,2422
280,2507
300,2595
320,2678
340,2740
360,2776
380,2781
400,2764
420,2725
440,2661
460,2595
480,2530
500,2483
520,2449
540,2440
560,2453
580,2483
600,2528
620,2582
640,2623
660,2651
680,2657
700,2642
720,2600
740,2547
760,2486
780,2423
800,2370
820,2330
840,2305
860,2305
880,2312
900,2338
920,2372
940,2408
960,2433
980,2448
1000,2443
1020,2431
1040,2398
1060,2364
1080,2316
1100,2272
1120,2234
1140,2210
1160,2185
1180,2187
1200,2200
1220,2226
1240,2253
1260,2279
1280,2301
1300,2314
1320,2311
1340,2304
1360,2276
1380,2246
1400,2208
1420,2178
1440,2143
1460,2125
1480,2109
1500,2108
1520,2120
1540,2132
1560,2151
1580,2172
1600,2189
1620,2200
1640,2202
1660,2194
1680,2178
1700,2158
1720,2136
1740,2109
1760,2086
